ชื่อ - สกุล,ปี จัดแข่งขัน,รายการ,ประเภท,ตำแหน่ง,สังกัด
ปทิตตา ปิยมังคลังกูร,2568,SET Table Tennis Club Championships 2025,ประเภททีมเยาวชนหญิงอายุไม่เกิน 17 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสบ้านปู A
ปทิตตา ปิยมังคลังกูร,2567,SET Table Tennis Club Championships 2024,ประเภททีมเยาวชนหญิงอายุไม่เกิน  15 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสบ้านปู B
ปภัสรา โพธิ์ทอง,2567,All Thailand 2024 Circuit 3,ประเภทเยาวชนหญิงคู่อายุ 16 -19 ปี,ตำแหน่งที่ 3,มหาวิทยาลัยธนบุรี
ปภินวิช กิตติรักษ์วรกุล,2568,SET Table Tennis Club Championships 2025,ประเภททีมเยาวชนชายอายุไม่เกิน 19 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสบ้านปู B
ปภินวิช กิตติรักษ์วรกุล,2568,All Thailand 2025 Circuit 2,ประเภทเยาวชนชายคู่อายุ 16 -19 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสบ้านปู
ปภินวิช กิตติรักษ์วรกุล,2568,CHIANG RAI OPEN 2025,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 19 ปี ,ชนะเลิศ,CMU
ปภินวิช กิตติรักษ์วรกุล,2567,All Thailand 2024 Circuit 2,ประเภทเยาวชนชายคู่อายุ 16 -19 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสบ้านปู
ปภินวิช กิตติรักษ์วรกุล,2567,All Thailand 2024 Circuit 3,ประเภทเยาวชนชายคู่อายุ 16 -19 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสบ้านปู
ปภินวิช กิตติรักษ์วรกุล,2567,Zeer – Joola Table Tennis Cup 2024,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 17 ปี ,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสบ้านปู
ปภินวิช กิตติรักษ์วรกุล,2566,SET Table Tennis Club Championships 2023,ประเภททีมเยาวชนชายอายุไม่เกิน 19  ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ Z
ปภินวิช กิตติรักษ์วรกุล,2565,King Cup 2022,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 15 ปี ,ตำแหน่งที่ 3,ยิมสามบาท เชียงใหม่
ปภินวิช กิตติรักษ์วรกุล,2565,King Cup 2022,ประเภทเยาวชนชายคู่อายุ 12 - 15  ปี,ตำแหน่งที่ 3,ยิมสามบาท เชียงใหม่
ปภินวิช กิตติรักษ์วรกุล,2565,M Electrolyte Table Tennis Club Championships 2022,ประเภททีมเยาวชนชายอายุไม่เกิน 15 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ A
ปภินวิช กิตติรักษ์วรกุล,2565,All Thailand 2022 Circuit 1,ประเภทเยาวชนชายคู่อายุ 12 - 15  ปี,รองชนะเลิศ,BP
ปภินวิช กิตติรักษ์วรกุล,2565,All Thailand 2022 Circuit 1,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 15 ปี ,ตำแหน่งที่ 3,BP
ปภินวิช กิตติรักษ์วรกุล,2565,All Thailand 2022 Circuit 3,ประเภทเยาวชนชายคู่อายุ 12 - 15  ปี,ตำแหน่งที่ 3,BP
ปภินวิช กิตติรักษ์วรกุล,2564,King Cup 2021,ประเภทเยาวชนชายคู่อายุ 12 - 15  ปี,ตำแหน่งที่ 3,BP
ปรเมศวร์ แก่นสุข,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 50 – 59 ปี,ตำแหน่งที่ 3,กองทัพบก
ปรเมษฐ์ ซื่อขิ่ง,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 50 – 59 ปี,ตำแหน่งที่ 3,กองทัพบก
ปรเมษฐ์ นงสันเทียะ,2567,SET Table Tennis Club Championships 2024,ประเภททีมเยาวชนชายอายุไม่เกิน  17 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสอิมพีเรียลสำโรง
ปรวีร์ สุขรัตนปรีชา,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมชายอายุ 60 - 64 ปี,ตำแหน่งที่ 3,BIE 601
ประกอบ วิชานานนท์,2565,King Cup 2022,ประเภทชายเดี่ยวอายุ 70 ปีขึ้นไป,ตำแหน่งที่ 3,EGAT
ประกอบ วิชานานนท์,2565,M Electrolyte Master Club Table Tennis Championships 2021,ประเภททีมชายอายุ 70 ปี ขึ้นไป,ตำแหน่งที่ 3,BIE 702
ประกอบ วิชานานนท์,2565,Master Table Tennis 2022 Circuit 1,ประเภทชายเดี่ยวอายุ 70 ปี ขึ้นไป ,ตำแหน่งที่ 3,EGAT
ประกอบ วิชานานนท์,2565,Master Table Tennis 2022 Circuit 2,ประเภทชายเดี่ยวอายุ 70 ปี ขึ้นไป ,ตำแหน่งที่ 3,EGAT
ประกิจ มีแสง,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมชายอายุ 50 – 59 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ M503
ประกิจ มีแสง,2565,M Electrolyte Master Club Table Tennis Championships 2021,ประเภททีมชายอายุ 50 – 59 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ M501
ประธาน เตชะวิเชียร,2568,SET Table Tennis Club Championships 2025,ประเภททีมอาวุโสชายอายุ 60 – 64 ปี,ชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M601
ประธาน เตชะวิเชียร,2568,"Masters , Hopes & Kids 2025 Circuit 1",ประเภทชายเดี่ยวอายุ 60 ปี ขึ้นไป,รองชนะเลิศ,ปิงปองอาวุโสตำรวจ
ประธาน เตชะวิเชียร,2568,"Masters , Hopes & Kids 2025 Circuit 2",ประเภทชายเดี่ยวอายุ 60 ปี ขึ้นไป,ตำแหน่งที่ 3,ปิงปองอาวุโสตำรวจ
ประธาน เตชะวิเชียร,2567,King Cup 2024,ประเภทชายเดี่ยวอายุ 60 ปี ขึ้นไป,รองชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ
ประธาน เตชะวิเชียร,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมชายอายุ 60 - 64 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M602
ประธาน เตชะวิเชียร,2567,Zeer – Joola Table Tennis Cup 2024,ประเภทอาวุโสชายเดี่ยวอายุ 60 ปี ขึ้นไป,ชนะเลิศ,ปิงปองอาวุโสตำรวจ
ประธาน เตชะวิเชียร,2566,King Cup 2023,ประเภทชายเดี่ยวอายุ 60 ปี ขึ้นไป,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ
ประธาน เตชะวิเชียร,2566,Master Table Tennis Club Championships 2023,ประเภททีมชายอายุ 60 - 64 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M602
ประธาน เตชะวิเชียร,2566,Master Table Tennis 2023 Circuit 2,ประเภทชายเดี่ยวอายุ 60 ปี ขึ้นไป,รองชนะเลิศ,ปิงปองอาวุโสตำรวจ
ประธาน เตชะวิเชียร,2566,Master Table Tennis 2023 Circuit 3,ประเภทชายเดี่ยวอายุ 60 ปี ขึ้นไป,ชนะเลิศ,ปิงปองอาวุโสตำรวจ
ประธาน เตชะวิเชียร,2565,M Electrolyte Master Club Table Tennis Championships 2021,ประเภททีมชายอายุ 60 - 64 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M602
ประธาน เตชะวิเชียร,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 60 - 64 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M602
ประธาน เตชะวิเชียร,2565,Master Table Tennis 2022 Circuit 1,ประเภทชายเดี่ยวอายุ 60 ปี ขึ้นไป,ตำแหน่งที่ 3,Police V
ประธาน เตชะวิเชียร,2564,King Cup 2021,ประเภทชายเดี่ยวอายุ 60 ปีขึ้นไป,รองชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ
ประไพ ศรีสุนทรไท,2568,SET Table Tennis Club Championships 2025,ประเภททีมอาวุโสหญิงอายุ 65 – 69 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ W651
ประไพ ศรีสุนทรไท,2568,"Masters , Hopes & Kids 2025 Circuit 1",ประเภทหญิงเดี่ยวอายุ 65 ปี ขึ้นไป,ชนะเลิศ,ปิงปองอาวุโสตำรวจ
ประไพ ศรีสุนทรไท,2568,"Masters , Hopes & Kids 2025 Circuit 1",ประเภทหญิงเดี่ยวอายุ 60 ปี ขึ้นไป,ตำแหน่งที่ 3,ปิงปองอาวุโสตำรวจ
ประไพ ศรีสุนทรไท,2568,"Masters , Hopes & Kids 2025 Circuit 2",ประเภทหญิงเดี่ยวอายุ 65 ปี ขึ้นไป,ชนะเลิศ,ปิงปองอาวุโสตำรวจ
ประไพ ศรีสุนทรไท,2568,BUTTERFLY & SISB OPEN 2025,ประเภทหญิงเดี่ยวอายุ 65 ปีขึ้นไป,ตำแหน่งที่ 3,ปิงปองอาวุโสตำรวจ
ประไพ ศรีสุนทรไท,2567,King Cup 2024,ประเภทหญิงเดี่ยวอายุ 60 ปี ขึ้นไป,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ
ประไพ ศรีสุนทรไท,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมหญิงอายุ 60 - 64 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ W601
ประไพ ศรีสุนทรไท,2567,Master Table Tennis 2024 Circuit 2,ประเภทหญิงเดี่ยวอายุ 60 ปี ขึ้นไป,รองชนะเลิศ,ปิงปองอาวุโสตำรวจ
ประไพ ศรีสุนทรไท,2567,BUTTERFLY & SISB OPEN 2024,ประเภทหญิงเดี่ยวอายุ 60 ปีขึ้นไป,ตำแหน่งที่ 3,ปิงปองอาวุโสตำรวจ
ประไพ ศรีสุนทรไท,2566,Master Table Tennis Club Championships 2023,ประเภททีมหญิงอายุ 60 - 64 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ W601
ประไพ ศรีสุนทรไท,2566,Master Table Tennis 2023 Circuit 3,ประเภทหญิงเดี่ยวอายุ 60 ปี ขึ้นไป,ตำแหน่งที่ 3,ปิงปองอาวุโสตำรวจ
ประไพ ศรีสุนทรไท,2565,M Electrolyte Master Club Table Tennis Championships 2021,ประเภททีมหญิงอายุ 60 ปี ขึ้นไป,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ W602
ประไพ ศรีสุนทรไท,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมหญิงอายุ 60 ปี,ชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ W601
ประไพ ศรีสุนทรไท,2565,Master Table Tennis 2022 Circuit 2,ประเภทหญิงเดี่ยวอายุ 60 ปี ขึ้นไป,ชนะเลิศ,ปิงปองอาวุโสตำรวจ
ประไพ ศรีสุนทรไท,2565,Master Table Tennis 2022 Circuit 3,ประเภทหญิงเดี่ยวอายุ 60 ปี ขึ้นไป,รองชนะเลิศ,ปิงปองอาวุโสตำรวจ
ประภาพรรณ นิมานนท์,2568,All Thailand 2025 Circuit 1,ประเภทหญิงเดี่ยวอายุ 50 ปี ขึ้นไป,รองชนะเลิศ,ปิงปองลำพูน
ประภาพรรณ นิมานนท์,2568,CHIANG RAI OPEN 2025,ประเภทหญิงเดี่ยวอายุ 40 ปีขึ้นไป,ตำแหน่งที่ 3,ปิงปองอาวุโสลำพูน
ประภาพรรณ นิมานนท์,2568,CHIANG RAI OPEN 2025,ประเภทหญิงเดี่ยวอายุ 50 ปีขึ้นไป,รองชนะเลิศ,ปิงปองอาวุโสลำพูน
ประภาพรรณ วิพรหมชัย,2566,CHIANGMAI PINGPONG FOR FUN II,ประเภทหญิงเดี่ยวทั่วไป,รองชนะเลิศ,ปิงปองลำพูน
ประภาศรี พิษณุพงควิชชา,2568,SET Table Tennis Club Championships 2025,ประเภททีมอาวุโสหญิงอายุ 60 – 64 ปี,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
ประภาศรี พิษณุพงควิชชา,2568,All Thailand 2025 Circuit 1,ประเภทหญิงเดี่ยวอายุ 60 ปี ขึ้นไป,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
ประภาศรี พิษณุพงควิชชา,2568,"Masters , Hopes & Kids 2025 Circuit 2",ประเภทหญิงเดี่ยวอายุ 60 ปี ขึ้นไป,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ประภาศรี พิษณุพงควิชชา,2568,"Masters , Hopes & Kids 2025 Circuit 3",ประเภทหญิงเดี่ยวอายุ 60 ปี ขึ้นไป,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ประภาศรี พิษณุพงควิชชา,2568,BUTTERFLY & SISB OPEN 2025,ประเภทหญิงเดี่ยวอายุ 60 ปีขึ้นไป,ชนะเลิศ,smc
ประภาศรี พิษณุพงควิชชา,2568,SPRC SUPER CUP 2025,ประเภทหญิงเดี่ยวอายุ 60 ปีขึ้นไป,ตำแหน่งที่ 3,ปิงปองระยองคลับ
ประภาศรี พิษณุพงควิชชา,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมหญิงอายุ 60 - 64 ปี,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
ประภาศรี พิษณุพงควิชชา,2567,Master Table Tennis 2024 Circuit 1,ประเภทหญิงเดี่ยวอายุ 60 ปี ขึ้นไป,ชนะเลิศ,ปิงปองอาวุโสตำรวจ
ประภาศรี พิษณุพงควิชชา,2567,Master Table Tennis 2024 Circuit 2,ประเภทหญิงเดี่ยวอายุ 60 ปี ขึ้นไป,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ประภาศรี พิษณุพงควิชชา,2567,Master Table Tennis 2024 Circuit 3,ประเภทหญิงเดี่ยวอายุ 50 ปี ขึ้นไป,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ประภาศรี พิษณุพงควิชชา,2567,Master Table Tennis 2024 Circuit 3,ประเภทหญิงเดี่ยวอายุ 60 ปี ขึ้นไป,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ประภาศรี พิษณุพงควิชชา,2567,Zeer – Joola Table Tennis Cup 2024,ประเภทอาวุโสหญิงเดี่ยวอายุ 50 ปี ขึ้นไป,ตำแหน่งที่ 3,ปิงปองอาวุโสตำรวจ
ประภาศรี พิษณุพงควิชชา,2567,Zeer – Joola Table Tennis Cup 2024,ประเภทอาวุโสหญิงเดี่ยวอายุ 60 ปี ขึ้นไป,รองชนะเลิศ,ปิงปองอาวุโสตำรวจ
ประภาศรี พิษณุพงควิชชา,2566,King Cup 2023,ประเภทหญิงเดี่ยวอายุ 60 ปี ขึ้นไป,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ
ประภาศรี พิษณุพงควิชชา,2566,Master Table Tennis Club Championships 2023,ประเภททีมหญิงอายุ 60 - 64 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ W601
ประภาศรี พิษณุพงควิชชา,2566,Master Table Tennis 2023 Circuit 1,ประเภทหญิงเดี่ยวอายุ 60 ปี ขึ้นไป,ชนะเลิศ,ปิงปองอาวุโสตำรวจ
ประภาศรี พิษณุพงควิชชา,2566,Master Table Tennis 2023 Circuit 3,ประเภทหญิงเดี่ยวอายุ 60 ปี ขึ้นไป,ชนะเลิศ,ปิงปองอาวุโสตำรวจ
ประภาศรี พิษณุพงควิชชา,2566,CHIANGMAI PINGPONG FOR FUN II,ประเภทหญิงเดี่ยวอายุ 60 ปี ขึ้นไป,รองชนะเลิศ,ปิงปองอาวุโสตำรวจ
ประภาศรี พิษณุพงควิชชา,2565,King Cup 2022,ประเภทหญิงเดี่ยวอายุ 60 ปีขึ้นไป,รองชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ
ประภาศรี พิษณุพงควิชชา,2565,M Electrolyte Master Club Table Tennis Championships 2021,ประเภททีมหญิงอายุ 50 – 59 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ W502
ประภาศรี พิษณุพงควิชชา,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมหญิงอายุ 60 ปี,ชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ W601
ประภาศรี พิษณุพงควิชชา,2565,Master Table Tennis 2022 Circuit 1,ประเภทหญิงเดี่ยวอายุ 60 ปี ขึ้นไป,รองชนะเลิศ,Police V
ประภาศรี พิษณุพงควิชชา,2565,Master Table Tennis 2022 Circuit 3,ประเภทหญิงเดี่ยวอายุ 60 ปี ขึ้นไป,ตำแหน่งที่ 3,ปิงปองอาวุโสตำรวจ
ประมุกช์ สายศิลป์,2567,SET Table Tennis Club Championships 2024,ประเภททีมเยาวชนชายอายุไม่เกิน  17 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสอิมพีเรียลสำโรง
ประเวท มุ่งดี,2568,SET Table Tennis Club Championships 2025,ประเภททีมอาวุโสชายอายุ 60 – 64 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล A
ประเวท มุ่งดี,2565,M Electrolyte Master Club Table Tennis Championships 2021,ประเภททีมชายอายุ 60 - 64 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M602
ประเสริฐ จงปัญญางาม,2568,SET Table Tennis Club Championships 2025,ประเภททีมอาวุโสชายอายุ 65 – 69 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M652
ประเสริฐ จงปัญญางาม,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมชายอายุ 65 – 69 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ M652
ประเสริฐ จงปัญญางาม,2565,M Electrolyte Master Club Table Tennis Championships 2021,ประเภททีมชายอายุ 60 - 64 ปี,ชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M601
ประเสริฐ ฉัตรศรีวิเศษ,2568,CHIANG RAI OPEN 2025,ประเภทชายเดี่ยวอายุ 60 ปีขึ้นไป,ตำแหน่งที่ 3,ปิงปองอาวุโสตำรวจ
ประเสริฐ เบญจพรรักษา,2568,SET Table Tennis Club Championships 2025,ประเภททีมอาวุโสชายอายุ 65 – 69 ปี,ชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M651
ประเสริฐ เบญจพรรักษา,2568,BUTTERFLY & SISB OPEN 2025,ประเภทชายเดี่ยวอายุ 60 ปีขึ้นไป,ตำแหน่งที่ 3,ปิงปองอาวุโสตำรวจ
ประเสริฐ เบญจพรรักษา,2568,BUTTERFLY & SISB OPEN 2025,ประเภทชายเดี่ยวอายุ 65 ปีขึ้นไป,ตำแหน่งที่ 3,ปิงปองอาวุโสตำรวจ
ประเสริฐ เบญจพรรักษา,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมชายอายุ 60 - 64 ปี,ชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M601
ประเสริฐ เบญจพรรักษา,2566,King Cup 2023,ประเภทชายเดี่ยวอายุ 60 ปี ขึ้นไป,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ
ประเสริฐ เบญจพรรักษา,2566,Master Table Tennis Club Championships 2023,ประเภททีมชายอายุ 60 - 64 ปี,ชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M601
ประเสริฐ เบญจพรรักษา,2565,M Electrolyte Master Club Table Tennis Championships 2021,ประเภททีมชายอายุ 60 - 64 ปี,ชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M601
ประเสริฐ เบญจพรรักษา,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 60 - 64 ปี,ชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M601
ประเสริฐ เบญจพรรักษา,2565,Master Table Tennis 2022 Circuit 1,ประเภทชายเดี่ยวอายุ 60 ปี ขึ้นไป,รองชนะเลิศ,Police V
ประเสริฐ เบญจพรรักษา,2564,King Cup 2021,ประเภทชายเดี่ยวอายุ 60 ปีขึ้นไป,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ
ประเสริฐ เรืองศรีเจริญรุ่ง,2568,SET Table Tennis Club Championships 2025,ประเภททีมอาวุโสชายอายุ 60 – 64 ปี,ชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M601
ประเสริฐ เรืองศรีเจริญรุ่ง,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทชายเดี่ยวอายุ 60 ปีขึ้นไป,ตำแหน่งที่ 3,ปิงปองอาวุโสตำรวจ
ประเสริฐ เรืองศรีเจริญรุ่ง,2568,CHIANG RAI OPEN 2025,ประเภทชายเดี่ยวอายุ 50 ปีขึ้นไป,ตำแหน่งที่ 3,ปิงปองอาวุโสตำรวจ
ประเสริฐ เรืองศรีเจริญรุ่ง,2568,CHIANG RAI OPEN 2025,ประเภทชายเดี่ยวอายุ 60 ปีขึ้นไป,ชนะเลิศ,ปิงปองอาวุโสตำรวจ
ประเสริฐ เรืองศรีเจริญรุ่ง,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมชายอายุ 60 - 64 ปี,ชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M601
ประเสริฐ เรืองศรีเจริญรุ่ง,2567,Master Table Tennis 2024 Circuit 1,ประเภทชายเดี่ยวอายุ 60 ปี ขึ้นไป,ชนะเลิศ,ปิงปองอาวุโสตำรวจ
ประเสริฐ เรืองศรีเจริญรุ่ง,2567,Master Table Tennis 2024 Circuit 2,ประเภทชายเดี่ยวอายุ 60 ปี ขึ้นไป,รองชนะเลิศ,ปิงปองอาวุโสตำรวจ
ประเสริฐ เรืองศรีเจริญรุ่ง,2567,Zeer – Joola Table Tennis Cup 2024,ประเภทอาวุโสชายเดี่ยวอายุ 60 ปี ขึ้นไป,รองชนะเลิศ,ปิงปองอาวุโสตำรวจ
ประเสริฐ เรืองศรีเจริญรุ่ง,2566,King Cup 2023,ประเภทชายเดี่ยวอายุ 60 ปี ขึ้นไป,รองชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ
ประเสริฐ เรืองศรีเจริญรุ่ง,2566,Master Table Tennis Club Championships 2023,ประเภททีมชายอายุ 60 - 64 ปี,ชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M601
ประเสริฐ เรืองศรีเจริญรุ่ง,2566,Master Table Tennis 2023 Circuit 1,ประเภทชายเดี่ยวอายุ 60 ปี ขึ้นไป,ตำแหน่งที่ 3,ปิงปองอาวุโสตำรวจ
ประเสริฐ เรืองศรีเจริญรุ่ง,2566,Master Table Tennis 2023 Circuit 2,ประเภทชายเดี่ยวอายุ 60 ปี ขึ้นไป,ชนะเลิศ,ปิงปองอาวุโสตำรวจ
ประเสริฐ เรืองศรีเจริญรุ่ง,2566,Master Table Tennis 2023 Circuit 3,ประเภทชายเดี่ยวอายุ 60 ปี ขึ้นไป,รองชนะเลิศ,ปิงปองอาวุโสตำรวจ
ประเสริฐ เรืองศรีเจริญรุ่ง,2565,King Cup 2022,ประเภทชายเดี่ยวอายุ 60 ปีขึ้นไป,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ
ประเสริฐ เรืองศรีเจริญรุ่ง,2565,M Electrolyte Master Club Table Tennis Championships 2021,ประเภททีมชายอายุ 50 – 59 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ M501
ประเสริฐ เรืองศรีเจริญรุ่ง,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 60 - 64 ปี,ชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M601
ประเสริฐ เรืองศรีเจริญรุ่ง,2565,All Thailand 2022 Circuit 2,ประเภทอาวุโสชายเดี่ยวอายุ 50 ปี ขึ้นไป,ตำแหน่งที่ 3,ปิงปองอาวุโสตำรวจ
ประเสริฐ เรืองศรีเจริญรุ่ง,2565,All Thailand 2022 Circuit 2,ประเภทอาวุโสชายเดี่ยวอายุ 60 ปี ขึ้นไป,ชนะเลิศ,ปิงปองอาวุโสตำรวจ
ประเสริฐ เรืองศรีเจริญรุ่ง,2565,Master Table Tennis 2022 Circuit 2,ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,ตำแหน่งที่ 3,ปิงปองอาวุโสตำรวจ
ประเสริฐ เรืองศรีเจริญรุ่ง,2565,Master Table Tennis 2022 Circuit 3,ประเภทชายเดี่ยวอายุ 60 ปี ขึ้นไป,รองชนะเลิศ,ปิงปองอาวุโสตำรวจ
ประเสริฐ อาจไชยชาญ,2565,M Electrolyte Master Club Table Tennis Championships 2021,ประเภททีมชายอายุ 65 – 69 ปี,ตำแหน่งที่ 3,BIE 652
ปริญญา เครือโสม,2568,SET Table Tennis Club Championships 2025,ประเภททีมอาวุโสหญิงอายุ 50 – 59 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล A
ปริญญา เครือโสม,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมหญิงอายุ 50 – 59 ปี,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
ปริญญา เครือโสม,2566,Master Table Tennis Club Championships 2023,ประเภททีมหญิงอายุ 50 – 59 ปี,ชนะเลิศ,smc
ปริญญา เครือโสม,2565,M Electrolyte Master Club Table Tennis Championships 2021,ประเภททีมหญิงอายุ 50 – 59 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ W502
ปริญญา เครือโสม,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมหญิงอายุ 50 – 59 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ W501
ปริญญา เครือโสม,2565,Master Table Tennis 2022 Circuit 2,ประเภทหญิงเดี่ยวอายุ 50 ปี ขึ้นไป,ตำแหน่งที่ 3,ปิงปองอาวุโสตำรวจ
ปริญญา ธนะธีรวัฒน์,2568,SET Table Tennis Club Championships 2025,ประเภททีมชายทั่วไป,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสบ้านปู A
ปริญญา ธนะธีรวัฒน์,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทชายคู่ ทั่วไป,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสบ้านปู
ปริญญา ธนะธีรวัฒน์,2568,CHIANG RAI OPEN 2025,ประเภทชายคู่,ชนะเลิศ,ชมรมเทเบิลเทนนิสช่องฟ้าซินเซิงวาณิชบำรุง
ปริญญา ธนะธีรวัฒน์,2567,All Thailand2024 Circuit 1,ประเภทชายคู่,ตำแหน่งที่ 3,ชมรมเทเบิลเทนนิสช่องฟ้าซินเซิงวาณิชบำรุง
ปริญญา ธนะธีรวัฒน์,2566,All Thailand 2023 Circuit 2,ประเภทชายคู่,ตำแหน่งที่ 3,สโมสรธารสุวรรณ
ปริญญา ธนะธีรวัฒน์,2566,Loei Table Tennis Open 2023,ประเภทชายเดี่ยวทั่วไป,ตำแหน่งที่ 3,CROSS SUPER
ปริญญา ธนะธีรวัฒน์,2565,All Thailand 2022 Circuit 1,ประเภทชายคู่,ตำแหน่งที่ 3,CROSS SUPER
